jmp_hyg_svclvl,jmp_hyg_avail,jmp_hyg_soap,jmp_waste_svclvl,jmp_waste_3bins,jmp_waste_sharps,jmp_waste_inf,jmp_wat_svclvl,jmp_wat_imp,jmp_wat_none,jmp_wat_dist,enum,status,rcode,hcf_mwaterid,hcf_type,reg_san,area_san,area_san_other,cont1_name,cont1_title,cont1_orng,cont1_mtn,cont2_name,cont2_title,cont2_orng,cont2_mtn,survey_date,staff_docs_all,Staffing of the health facility: Doctors - Number of male staff,Staffing of the health facility: Doctors - Number of female staff,Staffing of the health facility: Nurses - Total number of staff,Staffing of the health facility: Nurses - Number of male staff,Staffing of the health facility: Nurses - Number of female staff,Staffing of the health facility: Midwives - Total number of staff,Staffing of the health facility: Midwives - Number of male staff,Staffing of the health facility: Midwives - Number of female staff,Staffing of the health facility: Lab technicians - Total number of staff,Staffing of the health facility: Lab technicians - Number of male staff,Staffing of the health facility: Lab technicians - Number of female staff,Staffing of the health facility: Pharmacists - Total number of staff,Staffing of the health facility: Pharmacists - Number of male staff,Staffing of the health facility: Pharmacists - Number of female staff,Staffing of the health facility: Service staff - Total number of staff,Staffing of the health facility: Service staff - Number of male staff,Staffing of the health facility: Service staff - Number of female staff,Staffing of the health facility: Drivers - Total number of staff,Staffing of the health facility: Drivers - Number of male staff,Staffing of the health facility: Drivers - Number of female staff,Staffing of the health facility: Guards - Total number of staff,Staffing of the health facility: Guards - Number of male staff,Staffing of the health facility: Guards - Number of female staff,wp_mwaterid,wp_jmptype,watsys_exists,watsys_type,watsys_tank_cap,watsys_tank_type,wp_dist,water_available_today,watsys_taps,watsys_taps_total,watsys_taps_func,toilet_outpat,How many toilets are available for patients? ,How many toilets are available for patients?  (Asked),How many patient toilets are working? ,How many patient toilets are working?  (Asked),Are the patient toilets clean?,Are the patient toilets clean? (Asked),Is there a registry of cleaning at the patients toilet?,Is there a registry of cleaning at the patients toilet? (Asked),Are the patient toilets smelling?,Are the patient toilets smelling? (Asked),Are there flies in the patient toilets?,Are there flies in the patient toilets? (Asked),Are the patient toilets lit during the night?,Are the patient toilets lit during the night? (Asked),toilet_staff,How many toilets of any kind are available exclusively for staff? ,How many toilets of any kind are available exclusively for staff?  (Asked),How many staff toilets are working? ,How many staff toilets are working?  (Asked),toilet_mhm,"Is there at least one usable improved toilet designated for women and girls, which provides facilities to manage menstrual hygiene needs? (Asked)",toilet_hcap,Is there at least one usable improved toilet that meets the needs of people with reduced mobility? (Asked),Please take some photos of the latrines,handw_today_poc,handw_today_toilet,How many consultation rooms have a handwashing basin?,How many consultation rooms have a handwashing basin that works?,How many consultation rooms have a handwashing basin that works? (Asked),waste_3bins,waste_sharps,waste_infect,Is there an inicnerator at the center?,Is there an inicnerator at the center? (Other (please specify)) - specify,Please take a photo of the incinerator,Are cleaning protocols available?,Have all staff responsible for cleaning received training? ,Health facility > Unique ID,Community > Unique ID,Hygiene service level for health facility,Functional hand hygiene stations available at the selected point of care ,Handwashing facilities with soap and water available at toilets ,Health facility > Unique ID,Community > Unique ID,Healthcare waste service level for health facility,Is waste safely segregated into at least three labelled bins in the consultation area? ,Sharps waste disposal,How does this facility usually treat / dispose of infectious waste? ,Health facility > Unique ID,Sanitation facility > Unique ID,Community > Unique ID,jmp_san_svclvl,jmp_san_usable,jmp_san_mhm,jmp_san_staff,jmp_san_hcap,jmp_cln_svclvl,jmp_cln_prot,jmp_cln_staff,hcf_name,submitted_date,lat,lon
Basic,Yes,Yes,Basic,Yes,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLBUZ,435943,Health Centre Type C,Bijagos,Orango Zinho,,,,,,,,,,2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,20353355,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",3,3,"Yes, at least one usable improved toilet",2,True,2,True,Yes,True,No,True,No,True,No,True,No,True,Yes,2,True,2,True,Yes,True,Yes,True,https://api.mwater.co/v3/images/763bf4d0389746ffa82dfc3f8d3d9c48; https://api.mwater.co/v3/images/672149b6156248468c6e430382d8138c,Yes,Yes,2,2,True,Yes,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,https://api.mwater.co/v3/images/36c4fa94aacd43f6b7967b07d2d6144a,No,,435943,,Basic,Yes,Yes,435943,,Basic,Yes,Safe,Safe,435943,,,Basic,Yes,Yes,Yes,Yes,,No,,Orango Zinho,2018-08-07 10:15:04,11.16467,-15.92799
Basic,Yes,Yes,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLCPS,435950,Health Centre Type C,Bijagos,Soga,,,,,,,,,,2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,13663137,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",3,3,"Yes, at least one usable improved toilet",2,True,2,True,Yes,True,No,True,No,True,No,True,No,True,Yes,2,True,2,True,Yes,True,Yes,True,https://api.mwater.co/v3/images/0e001ce319d64cb183e0e659e95b7b4c; https://api.mwater.co/v3/images/b181886284cb4302b888326736ef5231; https://api.mwater.co/v3/images/7c0d3b762cca4ee0b3c2fe891b5dee87,Yes,Yes,2,2,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,https://api.mwater.co/v3/images/e119e382f2f14e9eba1e48f99a501674,No,,435950,,Basic,Yes,Yes,435950,,Limited,,Safe,Safe,435950,,,Basic,Yes,Yes,Yes,Yes,,No,,Soga,2018-08-07 10:30:14,11.35635,-15.85025
Basic,Yes,Yes,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLE2M,435967,Health Centre Type C,Bijagos,Unhocomo,,,,,,,,,,2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,16401721,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",3,3,"Yes, at least one usable improved toilet",2,True,2,True,Yes,True,No,True,No,True,No,True,No,True,Yes,2,True,2,True,Yes,True,Yes,True,https://api.mwater.co/v3/images/93b761b978df433594a5487a8ca0a305; https://api.mwater.co/v3/images/4c1db4bddfc949d59cd2d67185d80fba; https://api.mwater.co/v3/images/5e025603964f43ae943b0ee3b0228fd6,Yes,Yes,2,2,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,https://api.mwater.co/v3/images/d50a31fd2a754b498b6d806fa413b5e2,No,,435967,,Basic,Yes,Yes,435967,,Limited,,Safe,Safe,435967,,,Basic,Yes,Yes,Yes,Yes,,No,,Unhocomo,2018-08-07 10:49:47,11.29363,-16.4478
Basic,Yes,Yes,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLGVF,435974,Health Centre Type C,Bijagos,Uracane,,,,,,,,,,2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,20353348,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",3,3,"Yes, at least one usable improved toilet",2,True,2,True,Yes,True,No,True,No,True,No,True,No,True,Yes,2,True,2,True,Yes,True,Yes,True,https://api.mwater.co/v3/images/f683ae6bb9cd4979aa88fa732d2db9f6; https://api.mwater.co/v3/images/6c3145bab9054f3a808a2117aad3c37e,Yes,Yes,2,2,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,435974,,Basic,Yes,Yes,435974,,Limited,,Safe,Safe,435974,,,Basic,Yes,Yes,Yes,Yes,,No,,Uracane,2018-08-07 11:37:00,11.33152,-16.11401
Basic,Yes,Yes,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLHH5,435998,Health Centre Type C,Bijagos,Canhabaque,,,,,,,,,,2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,21482641,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",2,2,"Yes, at least one usable improved toilet",2,True,2,True,Yes,True,No,True,No,True,No,True,No,True,Yes,2,True,2,True,Yes,True,Yes,True,https://api.mwater.co/v3/images/e92bf06332af4d229913a6ab2b4b9c3c; https://api.mwater.co/v3/images/b88016b0e5dd48d9aec1c269af49f46b; https://api.mwater.co/v3/images/1a42285889aa4d9c9c9c7eddc2bd8300; https://api.mwater.co/v3/images/ab821a73a525403e8d41a37cd477af72,Yes,Yes,2,2,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,https://api.mwater.co/v3/images/245561a64bf7487491ad9eab3a7bfe53,No,,435998,,Basic,Yes,Yes,435998,,Limited,,Safe,Safe,435998,,,Basic,Yes,Yes,Yes,Yes,,No,,Canhabaque,2018-08-07 11:50:12,11.27269,-15.71726
Basic,Yes,Yes,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLK2Y,436009,Health Centre Type C,Bijagos,Caravela,,,,,,,,,,2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,19620675,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",4,4,"Yes, at least one usable improved toilet",2,True,2,True,Yes,True,No,True,No,True,No,True,No,True,Yes,2,True,2,True,Yes,True,Yes,True,https://api.mwater.co/v3/images/9b35035fe5f34621909a0c415f432ab5,Yes,Yes,3,3,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,https://api.mwater.co/v3/images/945b239e03494f60b6e4f7b27daf5a0a,No,,436009,,Basic,Yes,Yes,436009,,Limited,,Safe,Safe,436009,,,Basic,Yes,Yes,Yes,Yes,,No,,Caravela,2018-08-07 12:27:28,11.49329,-16.30279
Basic,Yes,Yes,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLKGM,436047,Health Centre Type C,Gabu,Buruntuma,,,,,,,,,,2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",4,4,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,Yes,Yes,1,1,True,Bins are present but don't meet all requirements,Open burning,Open burning,"Yes, but not working",,,No,,436047,,Basic,Yes,Yes,436047,,Limited,,Unsafe,Unsafe,436047,,,No service,No,,Yes,,,No,,Buruntuma,2018-08-07 12:37:04,12.4281189,-13.6477918
,,,,,,,,,,,kingsley.chris,Final,Bubacar-6TLMFY,4703668,Regional Hospital,Tombali,Catio,,,,,,,,,,2018-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,False,,True,,True,,True,,True,,True,,,False,,False,,True,,True,,,,,,False,,,,,,,No,,4703668,,,,,4703668,,,,,,4703668,,,,,,,,,No,,Catio,2018-08-07 12:51:13,11.28435,-15.25556
Limited,,Yes,,,,,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH49,436133,Health Centre Type C,Gabu,Pitche,,,,966608204,955741203,,,,,2018-08-07,1,,,4,,,0,,,1,,,,,,2,,,,,,0,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,5,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",15,9,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,2,True,2,True,,False,,False,https://api.mwater.co/v3/images/a8d8dec1b5334c4998c046fb62bf35f7; https://api.mwater.co/v3/images/8c9993e4d55a4bf19dcf0402da165668,,Yes,1,1,True,,,,"Yes, in use",,https://api.mwater.co/v3/images/f565b911f49f4374b3d8fb00cd50c3e8,No,,436133,,Limited,,Yes,436133,,,,,,436133,,,No service,No,,Yes,,,No,,Pitche,2018-08-07 14:40:42,12.3259105,-13.95815
Limited,,Yes,,,,,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH21,436102,Health Centre Type C,Gabu,Mafanco,,,,966673488,966750911,,,,,2018-08-07,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,5,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",5,2,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,,Yes,0,,False,,,,"Yes, in use",,,No,,436102,,Limited,,Yes,436102,,,,,,436102,,,No service,No,,Yes,,,No,,Mafanco,2018-08-07 14:40:42,12.263333,-14.437778
Basic,Yes,Yes,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH34,436171,Health Centre Type C,SAB,Ajuda,,,,,,,,,,2018-08-07,1,,,11,,,5,,,2,,,,,,2,,,,,,1,,,,Piped water inside Health Center,"Yes, and it works",Solar pump from own waterpoint,0,No Reservoir,On premises,"Yes, observed","Yes, water comes from at least one tap",10,,"Yes, at least one usable improved toilet",2,True,2,True,No,True,Yes,True,No,True,No,True,Yes,True,Yes,1,True,1,True,"No, female-only toilets do not have menstrual hygiene facilities",True,No,True,,Yes,Yes,2,0,True,Bins are present but don't meet all requirements,Open burning,Open burning,"Yes, but not working",,,No,,436171,,Basic,Yes,Yes,436171,,Limited,,Unsafe,Unsafe,436171,,,Limited,Yes,No,Yes,No,,No,,Ajuda,2018-08-07 14:40:42,11.85942,-15.61339
Limited,,Yes,,,,,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH26,4704212,Health Centre Type C,Tombali,Komo,,,,966662893,,,,,,2018-08-07,0,,,1,,,0,,,0,,,,,,1,,,,,,0,,,6405216,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,0.5,Cement,On premises,"Yes, observed","Yes, water comes from at least one tap",9,7,"No, improved toilets are present but not usable",1,True,0,True,Yes,True,,True,No,True,No,True,No,True,Yes,1,True,1,True,,True,,True,,,Yes,0,,False,,,,"Yes, but not working",,,No,,4704212,,Limited,,Yes,4704212,,,,,,4704212,,,Limited,No,,Yes,,,No,,Komo,2018-08-07 14:40:42,11.1964236,-15.3345058
,,No,,,,,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH40,436119,Health Centre Type C,Gabu,Mansadjam,,,,955414654,,,,,,2018-08-07,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,6368548,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,5,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,,"No, no handwashing facilities are available",0,,False,,,,"Yes, but not working",,,No,,436119,,,,No,436119,,,,,,436119,,,No service,No,,Yes,,,No,,Mansadjam,2018-08-07 14:40:42,12.43638,-14.3236
Basic,Yes,Yes,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH22,436078,Health Centre Type C,Gabu,Cansisse,,,,955162739,,,,,,2018-08-07,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,6384854,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,5,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",0,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,Yes,Yes,0,,False,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,436078,,Basic,Yes,Yes,436078,,Limited,,Safe,Safe,436078,,,No service,No,,Yes,,,No,,Cansisse,2018-08-07 14:40:42,12.18581,-14.35995
Limited,,Yes,,,,,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH06,436164,Health Centre Type C,Cacheu,Pecixe ,,,,966761703,955383836,,,,,2018-08-07,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,13663151,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",,,"Yes, at least one usable improved toilet",2,True,2,True,Yes,True,No,True,No,True,No,True,No,True,Yes,2,True,2,True,Yes,True,Yes,True,https://api.mwater.co/v3/images/fe20ecf523384d1185435ad2cfff217f; https://api.mwater.co/v3/images/4adb55a3b7194ef6963e45a7eb1e7213; https://api.mwater.co/v3/images/46b2a523e91a41c2b2bc0fdaee89a721,,Yes,2,2,True,,,,"Yes, in use",,https://api.mwater.co/v3/images/4b5b9165f3c5420193f5969894d9fd9e,No,,436164,,Limited,,Yes,436164,,,,,,436164,,,Basic,Yes,Yes,Yes,Yes,,No,,Pecixe,2018-08-07 14:40:42,11.76784,-16.05755
No service,No,No,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH16,436140,Health Centre Type B,Gabu,Sonaco,,,,966637800,,,,,,2018-08-07,2,,,6,,,1,,,1,,,,,,5,,,,,,1,,,66544311,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,10,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",0,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,"No, hand hygiene stations are available but not functional, or lacking materials","No, no handwashing facilities are available",1,0,True,Bins are present but don't meet all requirements,Open burning,Open burning,"Yes, in use",,,No,,436140,,No service,No,No,436140,,Limited,,Unsafe,Unsafe,436140,,,No service,No,,Yes,,,No,,Sonaco,2018-08-07 14:40:42,12.39668,-14.4807
Limited,,Yes,,,,,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH24,4704418,Health Centre Type C,Tombali,Quebo,,,,966778544,,,,,,2018-08-07,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,6399090,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",6,1,"No, improved toilets are present but not usable",2,True,0,True,Yes,True,,True,No,True,No,True,No,True,Yes,1,True,1,True,,True,,True,,,Yes,1,1,True,,,,"Yes, but not working",,,No,,4704418,,Limited,,Yes,4704418,,,,,,4704418,,,Limited,No,,Yes,,,No,,Saltinho,2018-08-07 14:40:42,11.6174593,-14.678602
No service,No,No,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH35,4703510,Health Centre Type C,Bafata,Tendinto,,,,966471697,,,,,,2018-08-07,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,36550313,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",14,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,No,,False,,False,,False,,False,,"No, hand hygiene stations are available but not functional, or lacking materials","No, no handwashing facilities are available",1,0,True,Bins are present but don't meet all requirements,Open burning,Open burning,"Yes, but not working",,,No,,4703510,,No service,No,No,4703510,,Limited,,Unsafe,Unsafe,4703510,,,No service,No,,No,,,No,,Tendinto,2018-08-07 14:40:42,12.612249,-14.658464
Basic,Yes,Yes,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH18,4703479,Health Centre Type C,Bafata,Tantam Cosse,,,,966621527,,,,,,2018-08-07,0,,,6,,,0,,,0,,,,,,2,,,,,,0,,,48129947,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,,,On premises,"Yes, observed","Yes, water comes from at least one tap",,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,2,True,2,True,,False,,False,,Yes,Yes,0,,False,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,4703479,,Basic,Yes,Yes,4703479,,Limited,,Safe,Safe,4703479,,,No service,No,,Yes,,,No,,Tantam cosse,2018-08-07 14:40:42,12.252988,-14.540364
Limited,,Yes,,,,,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH05,4704229,Health Centre Type C,Tombali,Sanconha,,,,,,,,,,2018-08-07,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,6407036,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",,,"Yes, at least one usable improved toilet",1,True,1,True,Yes,True,,True,Yes,True,No,True,No,True,No,,False,,False,,True,,True,,,Yes,0,,False,,,,No,,,No,,4704229,,Limited,,Yes,4704229,,,,,,4704229,,,Limited,Yes,,No,,,No,,Sanconha,2018-08-07 14:40:42,11.17068,-14.88691
No service,No,No,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH23,4703864,Health Centre Type C,Quinara,Brandao,,,,966754872,,,,,,2018-08-07,0,,,2,,,1,,,0,,,,,,1,,,,,,0,,,6396255,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",4,,"No, improved toilets are present but not usable",1,True,0,True,Yes,True,,True,Yes,True,No,True,No,True,No,,False,,False,"No, there are no female-only toilets",True,,True,,"No, hand hygiene stations are available but not functional, or lacking materials","No, no handwashing facilities are available",2,2,True,Bins are present but don't meet all requirements,Open burning,Open burning,No,,,No,,4703864,,No service,No,No,4703864,,Limited,,Unsafe,Unsafe,4703864,,,Limited,No,No,No,,,No,,Brandao,2018-08-07 14:40:42,11.72591,-15.3132
Limited,,Yes,,,,,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH08,4704126,Health Centre Type C,Oio,Portugol,,,,966930129,,,,,,2018-08-07,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,6393001,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,5,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",12,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,,Yes,1,0,True,,,,No,,,No,,4704126,,Limited,,Yes,4704126,,,,,,4704126,,,No service,No,,Yes,,,No,,Portugol,2018-08-07 14:40:42,11.96095,-15.12939
No service,No,No,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH44,436061,Health Centre Type C,Gabu,Canquelifa,,,,955208470,,,,,,2018-08-07,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,5,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",6,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,"No, hand hygiene stations are available but not functional, or lacking materials","No, no handwashing facilities are available",1,0,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,436061,,No service,No,No,436061,,Limited,,Safe,Safe,436061,,,No service,No,,Yes,,,No,,Canquelifa,2018-08-07 14:40:42,12.57704,-13.84645
Limited,,Yes,,,,,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH03,436157,Health Centre Type C,Cacheu,Jeta,,,,966865841,,,,,,2018-08-07,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,24892722,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",1,,"Yes, at least one usable improved toilet",2,True,2,True,Yes,True,No,True,No,True,No,True,No,True,Yes,2,True,2,True,Yes,True,Yes,True,https://api.mwater.co/v3/images/553038f7f2be48529adca5c96a98e8d0; https://api.mwater.co/v3/images/17a1557d11894dd1accf914c2edd487e; https://api.mwater.co/v3/images/65efd49989204cdd9e350f22b62b02b8; https://api.mwater.co/v3/images/7a62da94fbcd4b86b148afb9f0e5589c,,Yes,0,,False,,,,"Yes, in use",,https://api.mwater.co/v3/images/d8659fc5415242a493916fd9a66548d0; https://api.mwater.co/v3/images/01918c00ee6f43de84276f4594376fde,No,,436157,,Limited,,Yes,436157,,,,,,436157,,,Basic,Yes,Yes,Yes,Yes,,No,,Jeta,2018-08-07 14:40:42,11.85698,-16.2547
No service,No,No,Limited,,Unsafe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH07,4703572,Health Centre Type C,Tombali,Calaque,,,,966139070,966572362,,,,,2018-08-07,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",10,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,No,,False,,False,,False,,False,,"No, hand hygiene stations are available but not functional, or lacking materials","No, no handwashing facilities are available",1,1,True,Bins are present but don't meet all requirements,Open burning,"Not treated, but buried in lined, protected pit","Yes, but not working",,,No,,4703572,,No service,No,No,4703572,,Limited,,Unsafe,Safe,4703572,,,No service,No,,No,,,No,,Calaque,2018-08-07 14:40:42,11.033333,-15.069444
Limited,No,Yes,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH19,4703840,Health Centre Type C,Oio,Ga-Mamudo,,,,,955427832,,,,,2018-08-07,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,6380788,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,5,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",6,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,"No, hand hygiene stations are available but not functional, or lacking materials",Yes,1,0,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,4703840,,Limited,No,Yes,4703840,,Limited,,Safe,Safe,4703840,,,No service,No,,Yes,,,No,,Ga-Mamudo,2018-08-07 14:40:42,12.03217,-15.08917
Limited,No,Yes,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6TLUPH32,4703754,Health Centre Type C,Oio,Encheia,,,,969164237,,,,,,2018-08-07,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,5,PVC,On premises,"Yes, observed","Yes, water comes from at least one tap",7,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,"No, hand hygiene stations are available but not functional, or lacking materials",Yes,0,,False,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,4703754,,Limited,No,Yes,4703754,,Limited,,Safe,Safe,4703754,,,No service,No,,Yes,,,No,,Encheia,2018-08-07 14:40:42,12.06063,-15.46958
